stageId,numTasks,Duration,diskBytesSpilled_sum,duration_sum,duration_max,duration_min,duration_avg,executorCPUTime_sum,executorDeserializeCPUTime_sum,executorDeserializeTime_sum,executorRunTime_sum,input_bytesRead_sum,input_recordsRead_sum,jvmGCTime_sum,memoryBytesSpilled_sum,output_bytesWritten_sum,output_recordsWritten_sum,peakExecutionMemory_max,resultSerializationTime_sum,resultSize_max,sr_fetchWaitTime_sum,sr_localBlocksFetched_sum,sr_localBytesRead_sum,sr_remoteBlocksFetched_sum,sr_remoteBytesRead_sum,sr_remoteBytesReadToDisk_sum,sr_totalBytesRead_sum,sw_bytesWritten_sum,sw_recordsWritten_sum,sw_writeTime_sum
289,107,30645,0,734691,30617,1207,6866.3,706451,2836,6525,726732,0,0,13917,0,0,0,6174343168,0,86491,0,533,140680755,93304,24820277341,0,24960958096,23792423713,247163783,10473
114,419,29468,0,1409632,9991,526,3364.3,679315,3020,4387,1390532,0,0,14264,0,0,0,1476460544,5,18959,679346,3179,60675649,634364,11295588917,0,11356264566,14248317514,247163783,10987
99,800,28790,0,1326817,3781,494,1658.5,507458,4057,14708,1306992,0,0,10953,0,0,0,251723776,24,15320,772485,4200,24778580,655800,3902572086,0,3927350666,2989418033,247163783,6196
108,413,27848,0,1166973,6740,634,2825.6,469564,3158,14948,1149268,0,0,7071,0,0,0,939589632,1,18917,653648,3444,35955365,634099,7372911435,0,7408866800,6134949057,247163783,4938
846,800,26573,0,3432558,5573,2585,4290.7,2878634,3458,9553,3413736,0,0,97760,0,0,0,570556416,13,8040,4184,6450,329927803,1141722,58594089378,0,58924017181,23544427254,1150017784,26290
299,107,24828,0,588552,24799,904,5500.5,564090,2973,8005,579277,0,0,10280,0,0,0,5167710208,0,84755,0,516,100916449,93321,18372103400,0,18473019849,15890656240,247163783,6875
44,48,24686,0,251709,9613,3523,5243.9,146153,343,1125,250136,0,0,6792,0,0,0,570556416,0,7997,82951,192,18688938,50736,4834759983,0,4853448921,2066202912,69008901,1269
39,41,24315,0,179620,10851,2765,4381.0,129601,215,1590,177829,0,0,3944,0,0,0,637665280,0,7997,41584,303,29500589,43198,4124092728,0,4153593317,1944063947,59381045,1117
47,39,24111,0,293065,9963,3935,7514.5,127513,193,1365,291512,0,0,5081,0,0,0,704774144,0,7997,156244,250,24277480,41129,4089547179,0,4113824659,1925961470,56788695,1217
121,457,23859,0,859130,7538,467,1879.9,545981,3586,6149,793047,0,0,13521,0,0,0,939589632,2,18958,137835,3561,31971825,633982,5618793572,0,5650765397,7221754359,247163783,7903
42,66,23603,0,408649,10719,3350,6191.7,200850,331,614,407734,0,0,7739,0,0,0,704774144,0,7997,193174,455,43611784,69571,6627279855,0,6670891639,3065157214,95021335,1845
58,808,22960,0,986634,1820,10,640.6,964353,2989,2904,979729,0,0,7339,0,0,0,344064000,0,11637,2647,4604,238206226,655396,33715826200,0,33954032426,6196185941,247163783,7164
845,800,22271,0,3595017,5951,2771,4493.8,2939764,3517,18197,3566452,0,0,111717,0,0,0,570556416,43,8040,4315,6416,329183835,1141756,58611167369,0,58940351204,23489003394,1150017784,27495
133,442,21366,0,560672,4588,362,1268.5,395060,3457,7659,491733,0,0,9557,0,0,0,671154176,19,18917,4806,3664,8598372,635473,1478972003,0,1487570375,442415812,247163783,2367
129,417,21028,0,860079,6689,524,2062.5,513670,3152,9836,823891,0,0,12051,0,0,0,939589632,2,18958,200480,3540,31882934,634003,5715171823,0,5747054757,5295105711,247163783,5935
118,427,20193,0,1477689,8599,410,3460.6,629106,2994,28409,1446808,0,0,12612,0,0,0,1476460544,0,18917,794520,4125,67460395,633418,9979236465,0,10046696860,12900922428,247163783,8775
