stageId,accumulatorId,name,min,median,max,total
10,893,"number of output rows",2500,2500,2500,5000
10,894,"scan time",4613,4707,4802,9415
10,6700,"data size",40000,40000,40000,80000
10,6719,"shuffle bytes written",73692,73693,73695,147387
10,6720,"shuffle records written",2500,2500,2500,5000
10,6721,"shuffle write time",2587989,3109972,3631956,6219945
10,6722,"duration",4628,4723,4819,9447
10,6723,"number of output rows",2500,2500,2500,5000
10,6724,"number of output rows",2500,2500,2500,5000
10,6725,"number of input batches",25,25,25,50
10,9889,"internal.metrics.executorDeserializeTime",14,15,16,30
10,9890,"internal.metrics.executorDeserializeCpuTime",6462115,7763316,9064517,15526632
10,9891,"internal.metrics.executorRunTime",4695,4803,4912,9607
10,9892,"internal.metrics.executorCpuTime",684695354,728288288,771881223,1456576577
10,9893,"internal.metrics.resultSize",2898,2898,2898,5796
10,9898,"internal.metrics.peakExecutionMemory",67174400,67174400,67174400,134348800
10,9917,"internal.metrics.shuffle.write.bytesWritten",73692,73693,73695,147387
10,9918,"internal.metrics.shuffle.write.recordsWritten",2500,2500,2500,5000
10,9919,"internal.metrics.shuffle.write.writeTime",2587989,3109972,3631956,6219945
10,9920,"internal.metrics.input.bytesRead",190848,190851,190854,381702
10,9921,"internal.metrics.input.recordsRead",2500,2500,2500,5000
11,924,"number of output rows",731,731,731,731
11,925,"scan time",213,213,213,213
11,6729,"data size",11696,11696,11696,11696
11,6748,"shuffle bytes written",37994,37994,37994,37994
11,6749,"shuffle records written",731,731,731,731
11,6750,"shuffle write time",2053142,2053142,2053142,2053142
11,6751,"duration",240,240,240,240
11,6752,"number of output rows",731,731,731,731
11,6753,"number of output rows",731,731,731,731
11,6754,"number of input batches",1,1,1,1
11,9924,"internal.metrics.executorDeserializeTime",14,14,14,14
11,9925,"internal.metrics.executorDeserializeCpuTime",6474428,6474428,6474428,6474428
11,9926,"internal.metrics.executorRunTime",293,293,293,293
11,9927,"internal.metrics.executorCpuTime",131657049,131657049,131657049,131657049
11,9928,"internal.metrics.resultSize",2898,2898,2898,2898
11,9933,"internal.metrics.peakExecutionMemory",67141632,67141632,67141632,67141632
11,9952,"internal.metrics.shuffle.write.bytesWritten",37994,37994,37994,37994
11,9953,"internal.metrics.shuffle.write.recordsWritten",731,731,731,731
11,9954,"internal.metrics.shuffle.write.writeTime",2053142,2053142,2053142,2053142
11,9955,"internal.metrics.input.bytesRead",7749,7749,7749,7749
11,9956,"internal.metrics.input.recordsRead",731,731,731,731
12,1138,"number of output rows",80000,80000,80000,2000000
12,1139,"scan time",5440,5792,6060,144982
12,6913,"data size",1280000,1280000,1280000,32000000
12,6932,"shuffle bytes written",502324,505709,508770,12642851
12,6933,"shuffle records written",80000,80000,80000,2000000
12,6934,"shuffle write time",3007254,3932159,7689425,98304128
12,6935,"duration",5475,5829,6106,145893
12,6936,"number of output rows",80000,80000,80000,2000000
12,6937,"number of output rows",80000,80000,80000,2000000
12,6938,"number of input batches",32,32,32,800
12,9959,"internal.metrics.executorDeserializeTime",1,3,37,266
12,9960,"internal.metrics.executorDeserializeCpuTime",1496334,4659724,13664139,116493221
12,9961,"internal.metrics.executorRunTime",5553,5928,6237,148312
12,9962,"internal.metrics.executorCpuTime",494610611,638751221,970252456,15968780657
12,9963,"internal.metrics.resultSize",2896,2903,2941,72725
12,9964,"internal.metrics.jvmGCTime",9,30,62,219
12,9968,"internal.metrics.peakExecutionMemory",69206016,69206016,69206016,1730150400
12,9987,"internal.metrics.shuffle.write.bytesWritten",502324,505709,508770,12642851
12,9988,"internal.metrics.shuffle.write.recordsWritten",80000,80000,80000,2000000
12,9989,"internal.metrics.shuffle.write.writeTime",3007254,3932159,7689425,98304128
12,9990,"internal.metrics.input.bytesRead",222496,222738,222752,5568496
12,9991,"internal.metrics.input.recordsRead",80000,80000,80000,2000000
13,1538,"number of output rows",19980,19995,20012,500000
13,1539,"scan time",5450,5762,6233,144206
13,7115,"data size",718448,719995,721024,18000000
13,7134,"shuffle bytes written",316310,317285,318313,7932249
13,7135,"shuffle records written",19980,19995,20012,500000
13,7136,"shuffle write time",2914778,3631473,4638276,90786942
13,7137,"duration",5472,5786,6259,144820
13,7138,"number of output rows",19980,19995,20012,500000
